iata,name,city,state,country,latitude,longitude
SDZG,Pedro Teixeira Castelo Regional Tauá,Tauá,Ceará,Brazil,-5.9333333,-40.2975
SDIG,Ibitinga,Ibitinga,São Paulo,Brazil,-21.747222,-48.855833
SBVT,Eurico de Aguiar Salles,Vitória,Espírito Santo,Brazil,-20.258056,-40.286389
SNJK,Jequié,Jequié,Bahia,Brazil,-13.877778,-40.071389
SSKU,Lauro Antônio da Costa,Curitibanos,Santa Catarina,Brazil,-27.287222,-50.603889
SBJV,Lauro Carneiro de Loyola,Joinville,Santa Catarina,Brazil,-26.223056,-48.797778
SSEP,São Sepé,São Sepé,Rio Grande do Sul,Brazil,-30.182222,-53.579444
SBDO,Dourados,Dourados,Mato Grosso do Sul,Brazil,-22.200556,-54.925556
SJRG,Regional de Rio Grande,Rio Grande,Rio Grande do Sul,Brazil,-32.083611,-52.167778
SSXX,Municipal João Winckler,Xanxerê,Santa Catarina,Brazil,-26.875,-52.372778
SNGD,Guadalupe,Guadalupe,Piauí,Brazil,-6.7830556,-43.580833
SBCR,Corumbá,Corumbá,Mato Grosso do Sul,Brazil,-19.011944,-57.671389
SNKR,Corrente,Corrente,Piauí,Brazil,-10.451944,-45.136389
SWDM,Diamantino,Diamantino,Mato Grosso,Brazil,-14.376667,-56.400556
SSVI,Ângelo Ponzoni,Videira,Santa Catarina,Brazil,-26.999722,-51.141389
SWKO,Coari,Coari,Amazonas,Brazil,-4.1341667,-63.1325
SDTF,Tatuí,Tatuí,São Paulo,Brazil,-23.331944,-47.88
SSIJ,Ijuí,Ijuí,Rio Grande do Sul,Brazil,-28.368611,-53.846389
SBGM,Guajará-Mirim,Guajará-Mirim,Rondônia,Brazil,-10.788333,-65.281667
SNLT,Paulistana,Paulistana,Piauí,Brazil,-8.1663889,-41.153889
SDIY,João Durval Carneiro,Feira de Santana,Bahia,Brazil,-12.200556,-38.906389
SNTQ,Buritirama,Buritirama,Bahia,Brazil,-10.721667,-43.653611
SNCT,Caratinga,Ubaporanga,Minas Gerais,Brazil,-19.725278,-42.112222
SDPE,Porto Nacional,Porto Nacional,Tocantins,Brazil,-10.718056,-48.398889
SWCA,Carauari,Carauari,Amazonas,Brazil,-4.8713889,-66.8975
SWKC,Cáceres,Cáceres,Mato Grosso,Brazil,-16.0425,-57.63
SSGA,Garibaldi,Garibaldi,Rio Grande do Sul,Brazil,-29.268333,-51.532222
SWBG,André Antônio Maggi,Pontes e Lacerda,Mato Grosso,Brazil,-15.193333,-59.385278
SBSN,Maestro Wilson Fonseca,Santarém,Pará,Brazil,-2.4247222,-54.785833
SDFX,Casa Nova,Casa Nova,Bahia,Brazil,-9.1575,-40.9375
SNHS,Santa Magalhães,Serra Talhada,Pernambuco,Brazil,-8.0613889,-38.328611
SSKG,Estância Santa Maria,Campo Grande,Mato Grosso do Sul,Brazil,-20.505556,-54.524722
SSAE,Arroio Grande,Arroio Grande,Rio Grande do Sul,Brazil,-32.229167,-53.055833
SBPF,Lauro Kurtz,Passo Fundo,Rio Grande do Sul,Brazil,-28.244167,-52.328333
SBTE,SENADOR PETRÔNIO PORTELLA,Teresina,Piauí,Brazil,-5.0605556,-42.824444
SSCP,Francisco Lacerda Júnior,Cornélio Procópio,Paraná,Brazil,-23.1525,-50.6025
SWXM,Regional Orlando Villas Boas,Matupá,Mato Grosso,Brazil,-10.17,-54.953889
SSRU,São Lourenço do Sul,São Lourenço do Sul,Rio Grande do Sul,Brazil,-31.384722,-52.0325
SSMJ,Maracaju,Maracaju,Mato Grosso do Sul,Brazil,-21.633889,-55.145
SWJW,Jataí,Jataí,Goiás,Brazil,-17.83,-51.775278
SNIT,Ibotirama,Ibotirama,Bahia,Brazil,-12.168333,-43.2225
SBPB,Prefeito Doutor João Silva Filho,Parnaíba,Piauí,Brazil,-2.8933333,-41.730278
SNLO,São Lourenço,São Lourenço,Minas Gerais,Brazil,-22.090833,-45.044444
SBGW,Guaratinguetá,Guaratinguetá,São Paulo,Brazil,-22.791667,-45.204444
SNYE,Pinheiro,Pinheiro,Maranhão,Brazil,-2.4775,-45.105
SSSB,São Borja,São Borja,Rio Grande do Sul,Brazil,-28.654722,-56.034722
SIBU,JERÔNIMO SÉRGIO ROSADO MAIA,Catolé do Rocha,Paraíba,Brazil,-6.3625,-37.755278
SNNU,Nanuque,Nanuque,Minas Gerais,Brazil,-17.823056,-40.329722
SJOG,Ariquemes,Ariquemes,Rondônia,Brazil,-9.8805556,-63.047222
SBBW,Barra do Garças,Barra do Garças,Mato Grosso,Brazil,-15.861389,-52.388889
SNIB,Itaberaba,Itaberaba,Bahia,Brazil,-12.499722,-40.270278
SSIQ,Itaqui,Itaqui,Rio Grande do Sul,Brazil,-29.171944,-56.538333
SNNE,Sebastião Carlos Leite,São João Nepomuceno,Minas Gerais,Brazil,-21.542222,-43.021111
