origin,destination,count
SBLO,SBFL,1
SBFZ,SBFL,1
SBSJ,SBCT,1
SBSG,SNTS,1
SBSG,SBSL,1
SBSG,SBPS,1
SBSG,SBPL,1
SBSG,SBJU,1
SBSJ,SBFL,1
SBSG,SBIZ,1
SBSG,SBDN,1
SBSG,SBCY,1
SBSG,SBCG,1
SBGL,SBCH,1
SBGL,SBCJ,1
SBSG,SBCA,1
SBSG,SBAR,1
SBFZ,SSRS,1
SBSG,SBAE,1
SBSJ,SBGL,1
SBSJ,SBJR,1
SBSL,SBMA,1
SBSL,SBJE,1
SBSL,SBHT,1
SBFL,SBCX,1
SBFL,SBCY,1
SBSL,SBEG,1
SBSJ,SBSL,1
SBSJ,SBJP,1
SBFL,SBNM,1
SBMO,SBKG,1
SBSJ,SBRF,1
SBFL,SBSM,1
SBSJ,SBMQ,1
SBFL,SBUG,1
SBFL,SBUL,1
SBSJ,SBMK,1
SBFL,SBPK,1
SBFI,SBSJ,1
SBRP,SWLC,1
SBRP,SNGI,1
SBGO,SBEG,1
SBRP,SBIL,1
SBRP,SBFI,1
SBGO,SBPV,1
SBRP,SBCY,1
SBRP,SBCH,1
SBGO,SBSJ,1
SBRP,SBIZ,1
SBRP,SBCG,1
SBGO,SWLC,1
SBGR,SBAU,1
SBGR,SBAX,1
SBRP,SBBV,1
SBRP,SBAU,1
SBRJ,SBZM,1
SBRJ,SBTC,1
SBGO,SBUR,1
SBRP,SWGN,1
SBGO,SBCT,1
SBGL,SBVC,1
SBRP,SBZM,1
SBGL,SBJA,1
SBGL,SBJU,1
SBGL,SBME,1
SBRP,SBUL,1
SBRP,SBTE,1
SBGL,SBNM,1
SBRP,SBJE,1
SBRP,SBRB,1
SBRP,SBPL,1
SBRP,SBPB,1
SBGL,SBRP,1
SBRP,SBML,1
SBRP,SBMK,1
SBRP,SBMG,1
SBGL,SBTC,1
SBGL,SBPL,1
SBRJ,SBSR,1
SBSL,SBMO,1
SBFI,SBLO,1
SBSV,SBFE,1
SBCY,SBBH,1
SBSV,SBEG,1
SBSV,SBDN,1
SBCY,SBCB,1
SBCY,SBCH,1
SBCY,SBCR,1
SBCX,SBFL,1
SBSR,SBUL,1
SBCY,SBFI,1
SBCY,SBFL,1
SBSR,SBPF,1
SBSR,SBNF,1
SBSR,SBMK,1
SBCY,SBMG,1
SBCY,SBRB,1
SBCY,SBDN,1
SBCY,SBRF,1
SBCX,SBCT,1
SBSV,SBJU,1
SBTB,SNOX,1
SBSV,SWGN,1
SBSV,SDLO,1
SBCT,SBJA,1
SBCT,SBJP,1
SBSV,SBTC,1
SBCT,SBPF,1
SBSV,SBJE,1
SBCT,SBPK,1
SBSV,SBPJ,1
SBCT,SBRB,1
SBCT,SBRD,1
SBSV,SBNF,1
SBCT,SBUL,1
SBCT,SSBL,1
SBSV,SBMG,1
SBCT,SBPL,1
SBSL,SBMQ,1
SBCY,SBSG,1
SBCY,SWLV,1
SBEG,SBSG,1
SBSN,SBTU,1
SBSN,SBRB,1
SBEG,SSKW,1
SBSN,SBIH,1
SBSN,SBBV,1
SBSM,SBSM,1
SBSN,SBUY,1
SBSM,SBFL,1
SBFE,SBSV,1
SBFI,SBCA,1
SBSL,SBSG,1
