origin,destination,count
SBGR,SBUR,1
SBRJ,SBJF,1
SBRJ,SBJR,1
SBCT,SBSJ,1
SBRJ,SBMK,1
SBGL,SBBV,1
SBRJ,SBTC,1
SBCT,SBRD,1
SBCT,SBRB,1
SBGL,SBCA,1
SBCT,SBPK,1
SBRP,SBGL,1
SBGL,SBCP,1
SBLO,SBFI,1
SBRP,SBLO,1
SBRP,SBPA,1
SBRP,SBPB,1
SBCT,SBGO,1
SBRP,SNGI,1
SBSG,SBAE,1
SBGL,SBIL,1
SBSG,SBAR,1
SBCT,SBCX,1
SBSG,SBCA,1
SBSG,SBCY,1
SBSG,SBDN,1
SBSG,SBEG,1
SBCT,SBCB,1
SBCT,SBUL,1
SBRJ,SBIP,1
SBCT,SSBL,1
SBLO,SBPA,1
SBRB,SBBV,1
SBRB,SBCT,1
SBRB,SBCY,1
SBRB,SBKP,1
SBME,SBGL,1
SBRB,SBRP,1
SBRB,SBSN,1
SBRD,SBCT,1
SBCY,SBFL,1
SBME,SBCP,1
SBCY,SBDN,1
SBRF,SBCB,1
SBCY,SBCH,1
SBGL,SBJD,1
SBRF,SBCY,1
SBCY,SBBH,1
SBMA,SBIZ,1
SBRF,SBMQ,1
SBMA,SBCJ,1
SBCX,SBPA,1
SBFZ,SSRS,1
SBRF,SBSJ,1
SBRF,SDIY,1
SBCX,SBFL,1
SBLO,SBRF,1
SBRJ,SBBZ,1
SBRJ,SBCB,1
SBGL,SBAX,1
SBMA,SBSL,1
SBSG,SBJE,1
SBSG,SBKG,1
SBCT,SBBI,1
SBCH,SBEG,1
SBCH,SBCY,1
SBSJ,SBVT,1
SBSJ,SDCO,1
SBCG,SBSG,1
SBCG,SBRP,1
SBCG,SBRB,1
SBJV,SBNF,1
SBCG,SBPP,1
SBCG,SBPJ,1
SBSL,SBJP,1
SBCG,SBNF,1
SBSL,SBMO,1
SBSJ,SBPJ,1
SBCG,SBJV,1
SBSL,SBPL,1
SBSL,SBSG,1
SBSL,SBSJ,1
SBSL,SBVT,1
