uf;cidade;id;voos_decolagens;passageiros_embarcados;carga_despachada
AC;Cruzeiro Do Sul;1;26;20222.0;82726.0
AC;Rio Branco;2;93;149854.0;722387.0
AL;Rio Largo;3;449;1131689.0;495138.0
AM;Apuí;4;10;345.0;5936.0
AM;Barcelos;5;13;535.0;2603.0
AM;Borba;6;12;178.0;3303.0
AM;Carauari;7;39;10345.0;455.0
AM;Coari;8;76;29006.0;12980.0
AM;Eirunepé;9;28;4659.0;3833.0
AM;Lábrea;10;16;62.0;2980.0
AM;Manaus;11;968;1235407.0;41243167.0
AM;Manicoré;12;21;1382.0;5969.0
AM;Maués;13;11;184.0;3844.0
AM;Novo Aripuanã;14;2;0.0;0.0
AM;Parintins;15;31;20175.0;7677.0
AM;Santa Isabel Do Rio Negro;16;22;426.0;5115.0
AM;São Gabriel Da Cachoeira;17;21;9177.0;10613.0
AM;São Paulo De Olivença;18;13;402.0;0.0
AM;Tabatinga;19;22;24039.0;38786.0
AM;Tefé;20;59;14005.0;22425.0
AP;Macapá;21;154;303457.0;526876.0
AP;Oiapoque;22;9;1369.0;15785.0
BA;Barreiras;23;44;43220.0;13679.0
BA;Cairu;24;14;2521.0;0.0
BA;Feira De Santana;25;21;10266.0;1409.0
BA;Guanambi;26;21;18972.0;2420.0
BA;Ilhéus;27;130;293181.0;750619.0
BA;Lençóis;28;32;8548.0;1800.0
BA;Maraú;29;14;236.0;0.0
BA;Paulo Afonso;30;25;8970.0;1181.0
BA;Porto Seguro;31;498;1000669.0;1266488.0
BA;Salvador;32;894;3390831.0;5358292.0
BA;Teixeira De Freitas;33;24;5360.0;271.0
BA;Una;34;76;22977.0;5274.0
BA;Vitória Da Conquista;35;79;222007.0;121869.0
CE;Aracati;36;21;234.0;529.0
CE;Crateús;37;12;148.0;1864.0
CE;Cruz;38;116;111055.0;189701.0
CE;Fortaleza;39;779;2605963.0;18545921.0
CE;Iguatu;40;14;80.0;2199.0
CE;Juazeiro Do Norte;41;119;237873.0;196353.0
CE;Sobral;42;5;45.0;1053.0
